Kodlista,From.1,Tom.1
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2014,
ofta1,2014,
ofta1,2014,
ofta1,2014,
ofta1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1,2016,
ofta1,2016,
ofta1,2016,
ofta1,2016,
ofta1,2016,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
alltid2,2016,
alltid2,2016,
alltid2,2016,
alltid2,2016,
alltid2,2016,
alltid2,2016,
alltid2_1,2018,
alltid2_1,2018,
alltid2_1,2018,
alltid2_1,2018,
alltid2_1,2018,
alltid2_1,2018,
alltid2_1,2018,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag2,2008,
varjedag2,2008,
varjedag2,2008,
varjedag2,2008,
varjedag2,2008,
varjedag2,2008,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
varjedag1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2006,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
helatiden1,2008,
bra1,2006,
bra1,2006,
bra1,2006,
bra1,2006,
bra1,2006,
bra1,2008,
bra1,2008,
bra1,2008,
bra1,2008,
bra1,2008,
bra1,2010,
bra1,2010,
bra1,2010,
bra1,2010,
bra1,2010,
bra1,2012,
bra1,2012,
bra1,2012,
bra1,2012,
bra1,2012,
bra1_1,2014,
bra1_1,2014,
bra1_1,2014,
bra1_1,2014,
bra1_1,2014,
bra1_1,2014,
bra1,2016,
bra1,2016,
bra1,2016,
bra1,2016,
bra1,2016,
bra1_1,2018,
bra1_1,2018,
bra1_1,2018,
bra1_1,2018,
bra1_1,2018,
bra1_1,2018,
lätt1,2006,
lätt1,2006,
lätt1,2006,
lätt1,2006,
lätt1,2006,
lätt1,2006,
lätt1,2008,
lätt1,2008,
lätt1,2008,
lätt1,2008,
lätt1,2008,
lätt1,2008,
lätt1,2010,
lätt1,2010,
lätt1,2010,
lätt1,2010,
lätt1,2010,
lätt1,2010,
lätt1,2012,
lätt1,2012,
lätt1,2012,
lätt1,2012,
lätt1,2012,
lätt1,2012,
